,Area,Bairro,CEP,Cidade,DataAtualizacaoHumanizada,Endereco,Estado,FormatarSubTipoImovel,FormatarSubTipoOferta,Latitude,Longitude,PrecoCondominio,QuantidadeQuartos,QuantidadeSuites,QuantidadeVagas,SubTipo,SubTipoOferta,Tipo,UrlFicha,Valor,ValorIPTU,DataAtualizacaoEmDias,PrecoPorMetro
45,550,São João,,Itajaí,há 17 dias,Jose Pereira Liberato,SC,LOJA/SALÃO EM SÃO JOÃO,Loja/Salão em São JoãoLoja/Salão em São João para aluguel,0.0,0.0,0.0,0,0,0,1,Loja/Salão em São João,1,http://www.zapimoveis.com.br/imovel/aluguel-loja-salao--s-joao-itajai-sc-550m2-id-2452707330?paginaoferta=92,7400.0,291.0,17,13.454545454545455
46,72,Centro,88302115,Itajaí,ontem,Travessa José Paulo da Silva,SC,APARTAMENTO EM CENTRO,Apartamento em CentroApartamento em Centro para aluguel,-26.9149399,-48.6638951,400.0,2,1,1,1,Apartamento em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-centro-itajai-sc-72m2-id-2453099300?paginaoferta=92,1250.0,25.0,1,17.36111111111111
47,76,Ressacada,88307360,Itajaí,há 1 dia,Rua Adolfo Cugnier,SC,APARTAMENTO EM RESSACADA,Apartamento em RessacadaApartamento em Ressacada para aluguel,-26.9273547,-48.6744356,324.0,2,1,1,1,Apartamento em Ressacada,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-ressacada-itajai-sc-76m2-id-2454348204?paginaoferta=93,1200.0,0.0,1,15.789473684210526
48,50,São Vicente,88312000,Itajaí,há 15 dias,Rua Israel de Almeida,SC,APARTAMENTO EM SÃO VICENTE,Apartamento em São VicenteApartamento em São Vicente para aluguel,0.0,0.0,155.0,2,1,1,1,Apartamento em São Vicente,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-s-vicente-itajai-sc-50m2-id-2453814586?paginaoferta=85,1100.0,32.0,15,22.0
49,560,Cabeçudas,88306430,Itajaí,há 17 dias,Rua Floriano Peixoto,SC,CASA DE CONDOMÍNIO EM CABEÇUDAS,Casa de Condomínio em CabeçudasCasa de Condomínio em Cabeçudas para aluguel,-26.9284224,-48.6334556,0.0,4,4,6,1,Casa de Condomínio em Cabeçudas,1,http://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-4-quartos-com-piscina-cabecudas-itajai-sc-560m2-id-2253615504?paginaoferta=85,16000.0,0.0,17,28.571428571428573
50,150,Fazenda,88301451,Itajaí,há 17 dias,Rua Camboriú,SC,APARTAMENTO EM FAZENDA,Apartamento em FazendaApartamento em Fazenda para aluguel,-26.911871,-48.65672,629.0,3,3,2,1,Apartamento em Fazenda,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-fazenda-itajai-sc-150m2-id-2445531897?paginaoferta=81,5000.0,767.0,17,33.333333333333336
51,30,Centro,88301320,Itajaí,há 17 dias,Rua Samuel Heusi,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.9053113,-48.6614242,0.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-30m2-id-2172855504?paginaoferta=81,1100.0,0.0,17,36.666666666666664
52,90,Vila Operária,88303171,Itajaí,há 17 dias,Avenida José Eugênio Muller,SC,CONJUNTO COMERCIAL/SALA EM VILA OPERÁRIA,Conjunto Comercial/Sala em Vila OperáriaConjunto Comercial/Sala em Vila Operária para aluguel,-26.9106379,-48.6702039,165.0,0,0,0,2,Conjunto Comercial/Sala em Vila Operária,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala--vl-operaria-itajai-sc-90m2-id-2430687294?paginaoferta=81,2700.0,0.0,17,30.0
53,30,Centro,88301420,Itajaí,há 11 dias,Rua Quinze de Novembro,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.9057296,-48.6567872,0.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-30m2-id-2213555636?paginaoferta=81,600.0,11.0,11,20.0
54,69,Espinheiros,,Itajaí,há 1 mês,Endereço Não Informado,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM ESPINHEIROS,Galpão/Depósito/Armazém em EspinheirosGalpão/Depósito/Armazém em Espinheiros para aluguel,0.0,0.0,0.0,0,0,6,1,Galpão/Depósito/Armazém em Espinheiros,1,http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem--espinheiros-itajai-sc-69m2-id-2446599601?paginaoferta=134,10000.0,0.0,30,144.92753623188406
